Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1uF,fab-C1206FAB,154.0764,-85.1916,90,bottom
FB1,1.5 kΩ,fab-R1206FAB,156.5402,-93.9292,0,bottom
FB2,1.5 kΩ,fab-R1206FAB,156.718,-80.01,180,bottom
R1,10k,fab-R1206FAB,150.0124,-86.2584,270,bottom
R2,10k,fab-R1206FAB,150.0124,-92.202,270,bottom
R3,10k,fab-R1206FAB,154.2796,-105.2068,90,bottom
R4,10k,fab-R1206FAB,158.1404,-105.2068,90,bottom
R5,10k,fab-R1206FAB,156.5656,-97.6884,0,bottom
R6,10k,fab-R1206FAB,156.6672,-90.5764,0,bottom
T1,NMOSFET,fab-SOT-23,145.2,-79.65,180,bottom
T2,NMOSFET,fab-SOT-23,145.2,-101.4,180,bottom
U1,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,158.3944,-85.0392,270,bottom
